actualWgt,businessDate,businessShift,carcassGroupTypeCd,carcassGroupTypeNm,productCd,quantity,sapPlantCd,weight,weightUom,yieldGroupCd,destinationGroupCd,destinationGroupNm
363.0,2023-01-02T00:00:00Z,1.0,CMS,Cargill Meat Solutions,SC0101,5.0,1CCO,363.0,LB,95024,,
74.0,2023-01-02T00:00:00Z,1.0,CMS,Cargill Meat Solutions,SC0102,1.0,1CCO,74.0,LB,95024,,
1577.5,2023-01-03T00:00:00Z,1.0,CMS,Cargill Meat Solutions,000420,1.0,1CCO,1578.0,LB,50008,700,Fab
27932.6,2023-01-03T00:00:00Z,1.0,CMS,Cargill Meat Solutions,000509,472.0,1CCO,27932.6,LB,73001,703,Harvest
4740.0,2023-01-03T00:00:00Z,1.0,CMS,Cargill Meat Solutions,000526,79.0,1CCO,4740.0,LB,70003,703,Harvest
4200.0,2023-01-03T00:00:00Z,1.0,CMS,Cargill Meat Solutions,000536,70.0,1CCO,4200.0,LB,74011,703,Harvest
900.0,2023-01-03T00:00:00Z,1.0,CMS,Cargill Meat Solutions,000655,15.0,1CCO,900.0,LB,74006,703,Harvest
3671.0,2023-01-03T00:00:00Z,1.0,CMS,Cargill Meat Solutions,011478,2.0,1CCO,3672.0,LB,2005,700,Fab
1576.4,2023-01-03T00:00:00Z,1.0,CMS,Cargill Meat Solutions,012141,23.0,1CCO,1576.4,LB,12023,700,Fab
19669.4,2023-01-03T00:00:00Z,1.0,CMS,Cargill Meat Solutions,016620,369.0,1CCO,19669.4,LB,10002,700,Fab
1806.6,2023-01-03T00:00:00Z,1.0,CMS,Cargill Meat Solutions,016622,30.0,1CCO,1806.6,LB,10013,700,Fab
9607.6,2023-01-03T00:00:00Z,1.0,CMS,Cargill Meat Solutions,018825,139.0,1CCO,9607.6,LB,4050,700,Fab
1990.0,2023-01-03T00:00:00Z,1.0,CMS,Cargill Meat Solutions,020367,36.0,1CCO,1990.0,LB,50022,700,Fab
11724.3,2023-01-03T00:00:00Z,1.0,CMS,Cargill Meat Solutions,022175,296.0,1CCO,11724.3,LB,12020,700,Fab
5681.1,2023-01-03T00:00:00Z,1.0,CMS,Cargill Meat Solutions,031228,85.0,1CCO,5681.1,LB,3004,700,Fab
2622.5,2023-01-03T00:00:00Z,1.0,CMS,Cargill Meat Solutions,038770,39.0,1CCO,2622.5,LB,4051,700,Fab
2692.2,2023-01-03T00:00:00Z,1.0,CMS,Cargill Meat Solutions,040724,135.0,1CCO,2692.2,LB,70012,0,Default
244.7,2023-01-03T00:00:00Z,1.0,CMS,Cargill Meat Solutions,040902,23.0,1CCO,244.7,LB,13006,0,Default
26903.1,2023-01-03T00:00:00Z,1.0,CMS,Cargill Meat Solutions,045730,23.0,1CCO,26910.0,LB,50333,702,Tissue
2169.5,2023-01-03T00:00:00Z,1.0,CMS,Cargill Meat Solutions,050471,1.0,1CCO,2170.0,LB,50066,700,Fab
4428.0,2023-01-03T00:00:00Z,1.0,CMS,Cargill Meat Solutions,050481,2.0,1CCO,4428.0,LB,50042,700,Fab
66650.4,2023-01-03T00:00:00Z,1.0,CMS,Cargill Meat Solutions,050602,42.0,1CCO,66663.0,LB,50137,700,Fab
968.1,2023-01-03T00:00:00Z,1.0,CMS,Cargill Meat Solutions,071227,25.0,1CCO,968.1,LB,3003,700,Fab
826.0,2023-01-03T00:00:00Z,1.0,CMS,Cargill Meat Solutions,071229,25.0,1CCO,826.0,LB,3004,700,Fab
1644.0,2023-01-03T00:00:00Z,1.0,CMS,Cargill Meat Solutions,077170,50.0,1CCO,1644.0,LB,14001,700,Fab
-85.4,2023-01-03T00:00:00Z,1.0,CMS,Cargill Meat Solutions,081422,-1.0,1CCO,-85.4,LB,2005,700,Fab
1277.1,2023-01-03T00:00:00Z,1.0,CMS,Cargill Meat Solutions,081873,17.0,1CCO,1277.1,LB,2010,700,Fab
6405.0,2023-01-03T00:00:00Z,1.0,CMS,Cargill Meat Solutions,087125,87.0,1CCO,6405.0,LB,14001,700,Fab
807.4,2023-01-03T00:00:00Z,1.0,CMS,Cargill Meat Solutions,087871,21.0,1CCO,807.4,LB,4032,700,Fab
423.9,2023-01-03T00:00:00Z,1.0,CMS,Cargill Meat Solutions,088772,6.0,1CCO,423.9,LB,4054,700,Fab
3661.5,2023-01-03T00:00:00Z,1.0,CMS,Cargill Meat Solutions,089321,53.0,1CCO,3661.5,LB,4096,700,Fab
858.6,2023-01-03T00:00:00Z,1.0,CMS,Cargill Meat Solutions,099320,22.0,1CCO,858.6,LB,4096,700,Fab
116.0,2023-01-03T00:00:00Z,1.0,CMS,Cargill Meat Solutions,SC3102,1.0,1CCO,116.0,LB,95027,,
2938.0,2023-01-03T00:00:00Z,1.0,CMS,Cargill Meat Solutions,SC9000,28.0,1CCO,2938.0,LB,95098,,
21354.0,2023-01-03T00:00:00Z,2.0,CMS,Cargill Meat Solutions,000427,12.0,1CCO,21354.0,LB,50001,700,Fab
360.0,2023-01-03T00:00:00Z,2.0,CMS,Cargill Meat Solutions,000693,6.0,1CCO,360.0,LB,78036,703,Harvest
9832.3,2023-01-03T00:00:00Z,2.0,CMS,Cargill Meat Solutions,010344,224.0,1CCO,9832.3,LB,13018,700,Fab
33.7,2023-01-03T00:00:00Z,2.0,CMS,Cargill Meat Solutions,010423,1.0,1CCO,33.7,LB,3024,700,Fab
38.0,2023-01-03T00:00:00Z,2.0,CMS,Cargill Meat Solutions,010436,1.0,1CCO,38.0,LB,1085,700,Fab
2397.3,2023-01-03T00:00:00Z,2.0,CMS,Cargill Meat Solutions,011424,43.0,1CCO,2397.3,LB,2012,700,Fab
5634.0,2023-01-03T00:00:00Z,2.0,CMS,Cargill Meat Solutions,011432,75.0,1CCO,5634.0,LB,2005,700,Fab
10375.5,2023-01-03T00:00:00Z,2.0,CMS,Cargill Meat Solutions,011478,5.0,1CCO,10374.0,LB,2005,700,Fab
1201.7,2023-01-03T00:00:00Z,2.0,CMS,Cargill Meat Solutions,011523,16.0,1CCO,1201.7,LB,1099,700,Fab
18319.7,2023-01-03T00:00:00Z,2.0,CMS,Cargill Meat Solutions,011849,295.0,1CCO,18319.7,LB,1024,700,Fab
9426.1,2023-01-03T00:00:00Z,2.0,CMS,Cargill Meat Solutions,012138,156.0,1CCO,9426.1,LB,12003,700,Fab
2453.3,2023-01-03T00:00:00Z,2.0,CMS,Cargill Meat Solutions,012177,56.0,1CCO,2453.3,LB,12022,700,Fab
2983.6,2023-01-03T00:00:00Z,2.0,CMS,Cargill Meat Solutions,012191,64.0,1CCO,2983.6,LB,12022,700,Fab
6020.5,2023-01-03T00:00:00Z,2.0,CMS,Cargill Meat Solutions,012420,95.0,1CCO,6020.5,LB,1096,700,Fab
1881.5,2023-01-03T00:00:00Z,2.0,CMS,Cargill Meat Solutions,012431,1.0,1CCO,1882.0,LB,1096,700,Fab
1739.5,2023-01-03T00:00:00Z,2.0,CMS,Cargill Meat Solutions,016640,32.0,1CCO,1739.5,LB,10002,700,Fab
-185.1,2023-01-03T00:00:00Z,2.0,CMS,Cargill Meat Solutions,016822,-2.0,1CCO,-185.1,LB,8030,700,Fab
15866.9,2023-01-03T00:00:00Z,2.0,CMS,Cargill Meat Solutions,017125,211.0,1CCO,15866.9,LB,14001,700,Fab
7395.0,2023-01-03T00:00:00Z,2.0,CMS,Cargill Meat Solutions,017826,105.0,1CCO,7395.0,LB,4032,700,Fab
803.3,2023-01-03T00:00:00Z,2.0,CMS,Cargill Meat Solutions,018020,12.0,1CCO,803.3,LB,4033,700,Fab
64.6,2023-01-03T00:00:00Z,2.0,CMS,Cargill Meat Solutions,018040,1.0,1CCO,64.6,LB,4033,700,Fab
10004.5,2023-01-03T00:00:00Z,2.0,CMS,Cargill Meat Solutions,018924,126.0,1CCO,10004.5,LB,7010,700,Fab
3008.5,2023-01-03T00:00:00Z,2.0,CMS,Cargill Meat Solutions,018934,39.0,1CCO,3008.5,LB,7010,700,Fab
5330.5,2023-01-03T00:00:00Z,2.0,CMS,Cargill Meat Solutions,020332,3.0,1CCO,5330.0,LB,13014,700,Fab
256.9,2023-01-03T00:00:00Z,2.0,CMS,Cargill Meat Solutions,020333,4.0,1CCO,256.9,LB,3025,700,Fab
2456.4,2023-01-03T00:00:00Z,2.0,CMS,Cargill Meat Solutions,020337,39.0,1CCO,2456.4,LB,3038,700,Fab
1713.2,2023-01-03T00:00:00Z,2.0,CMS,Cargill Meat Solutions,020479,35.0,1CCO,1713.2,LB,9022,700,Fab
981.3,2023-01-03T00:00:00Z,2.0,CMS,Cargill Meat Solutions,020490,13.0,1CCO,981.3,LB,50081,700,Fab
23760.0,2023-01-03T00:00:00Z,2.0,CMS,Cargill Meat Solutions,021530,792.0,1CCO,23760.0,LB,75001,703,Harvest
262.2,2023-01-03T00:00:00Z,2.0,CMS,Cargill Meat Solutions,022137,6.0,1CCO,262.2,LB,12016,700,Fab
1867.6,2023-01-03T00:00:00Z,2.0,CMS,Cargill Meat Solutions,028533,47.0,1CCO,1867.6,LB,4098,700,Fab
5733.5,2023-01-03T00:00:00Z,2.0,CMS,Cargill Meat Solutions,032070,97.0,1CCO,5733.5,LB,11001,700,Fab
187.5,2023-01-03T00:00:00Z,2.0,CMS,Cargill Meat Solutions,038770,3.0,1CCO,187.5,LB,4051,700,Fab
97.7,2023-01-03T00:00:00Z,2.0,CMS,Cargill Meat Solutions,040445,2.0,1CCO,97.7,LB,1092,700,Fab
1341.8,2023-01-03T00:00:00Z,2.0,CMS,Cargill Meat Solutions,040725,66.0,1CCO,1341.8,LB,74006,0,Default
1702.8,2023-01-03T00:00:00Z,2.0,CMS,Cargill Meat Solutions,040858,79.0,1CCO,1702.8,LB,74043,0,Default
370.6,2023-01-03T00:00:00Z,2.0,CMS,Cargill Meat Solutions,041020,5.0,1CCO,370.6,LB,3026,700,Fab
599.8,2023-01-03T00:00:00Z,2.0,CMS,Cargill Meat Solutions,048345,8.0,1CCO,599.8,LB,5004,700,Fab
14792.5,2023-01-03T00:00:00Z,2.0,CMS,Cargill Meat Solutions,052290,7.0,1CCO,14794.0,LB,62734,707,Chub
21298.5,2023-01-03T00:00:00Z,2.0,CMS,Cargill Meat Solutions,060440,11.0,1CCO,21298.0,LB,50039,700,Fab
303.6,2023-01-03T00:00:00Z,2.0,CMS,Cargill Meat Solutions,098940,8.0,1CCO,303.6,LB,7010,700,Fab
2144.4,2023-01-03T00:00:00Z,2.0,CMS,Cargill Meat Solutions,099340,65.0,1CCO,2144.4,LB,4096,700,Fab
-59.3,2023-01-03T00:00:00Z,,CMS,Cargill Meat Solutions,000379,-1.0,1CCO,-59.3,LB,62308,707,Chub
-116.9,2023-01-03T00:00:00Z,,CMS,Cargill Meat Solutions,002246,-2.0,1CCO,-116.9,LB,62210,707,Chub
-412.6,2023-01-03T00:00:00Z,,CMS,Cargill Meat Solutions,018740,-7.0,1CCO,-412.6,LB,4051,700,Fab
-692.3,2023-01-03T00:00:00Z,,CMS,Cargill Meat Solutions,157303,-19.0,1CCO,-684.0,LB,62273,707,Chub
8918.8,2023-01-04T00:00:00Z,1.0,CMS,Cargill Meat Solutions,000389,112.0,1CCO,8918.8,LB,62290,707,Chub
6831.0,2023-01-04T00:00:00Z,1.0,CMS,Cargill Meat Solutions,000419,4.0,1CCO,6830.0,LB,50501,700,Fab
12180.0,2023-01-04T00:00:00Z,1.0,CMS,Cargill Meat Solutions,000522,203.0,1CCO,12180.0,LB,72014,703,Harvest
6060.0,2023-01-04T00:00:00Z,1.0,CMS,Cargill Meat Solutions,000536,101.0,1CCO,6060.0,LB,74011,703,Harvest
2499.0,2023-01-04T00:00:00Z,1.0,CMS,Cargill Meat Solutions,010423,61.0,1CCO,2499.0,LB,3024,700,Fab
16750.6,2023-01-04T00:00:00Z,1.0,CMS,Cargill Meat Solutions,011425,238.0,1CCO,16750.6,LB,1097,700,Fab
1537.7,2023-01-04T00:00:00Z,1.0,CMS,Cargill Meat Solutions,011516,19.0,1CCO,1537.7,LB,1099,700,Fab
23066.3,2023-01-04T00:00:00Z,1.0,CMS,Cargill Meat Solutions,011826,373.0,1CCO,23066.3,LB,1028,700,Fab
2301.1,2023-01-04T00:00:00Z,1.0,CMS,Cargill Meat Solutions,016880,41.0,1CCO,2301.1,LB,8035,700,Fab
1441.6,2023-01-04T00:00:00Z,1.0,CMS,Cargill Meat Solutions,018610,20.0,1CCO,1441.6,LB,6002,700,Fab
3161.9,2023-01-04T00:00:00Z,1.0,CMS,Cargill Meat Solutions,019321,45.0,1CCO,3161.9,LB,4096,700,Fab
671.4,2023-01-04T00:00:00Z,1.0,CMS,Cargill Meat Solutions,020427,10.0,1CCO,671.4,LB,3034,700,Fab
11169.9,2023-01-04T00:00:00Z,1.0,CMS,Cargill Meat Solutions,022071,173.0,1CCO,11169.9,LB,11012,700,Fab
16543.1,2023-01-04T00:00:00Z,1.0,CMS,Cargill Meat Solutions,022191,282.0,1CCO,16543.1,LB,12040,700,Fab
793.8,2023-01-04T00:00:00Z,1.0,CMS,Cargill Meat Solutions,028512,18.0,1CCO,793.8,LB,4098,700,Fab
957.0,2023-01-04T00:00:00Z,1.0,CMS,Cargill Meat Solutions,030424,14.0,1CCO,957.0,LB,3034,700,Fab
1790.5,2023-01-04T00:00:00Z,1.0,CMS,Cargill Meat Solutions,039370,25.0,1CCO,1790.5,LB,4096,700,Fab
859.1,2023-01-04T00:00:00Z,1.0,CMS,Cargill Meat Solutions,040631,42.0,1CCO,859.1,LB,74011,0,Default
33.1,2023-01-04T00:00:00Z,1.0,CMS,Cargill Meat Solutions,040642,2.0,1CCO,33.1,LB,76004,0,Default
7454.5,2023-01-04T00:00:00Z,1.0,CMS,Cargill Meat Solutions,040710,313.0,1CCO,7454.5,LB,71026,0,Default
